critical_high_ratio,content_type_encoded,has_forms,response_time_ms_scaled,status_category_encoded,waf_detected,log_response_size,path_depth_scaled,security_score,input_count,has_inputs,subdomain_count,num_query_params,total_headers,has_frame_options,has_comments,has_javascript,response_size_scaled,has_csp,url_length,security_headers_count_scaled,params_per_input,has_hsts,has_https,vuln_density_per_kb,input_count_scaled,interactivity_score,security_headers_count,server_header_encoded,path_depth,form_count,form_count_scaled,domain_tld_encoded,response_time_ms,response_size,has_xss_protection
0.0,0,0.0,0.09998304041942374,2,1,9.792388380017409,0.5,1.12,0.0,0.0,1.0,0.0,15.0,1.0,1.0,1.0,0.008460572879360598,1.0,54,0.75,0.0,1.0,1,0.057219490388913725,0.0,0.2,6.0,8,3.0,0.0,0.0,4,663.7769999999999,17896.0,0.0
0.0,0,0.0,0.015610150769647608,0,1,14.174463904371736,0.5,0.44000000000000006,0.0,0.0,1.0,0.0,15.0,0.0,1.0,1.0,0.6769536264157099,0.0,66,0.25,0.0,1.0,1,0.0007151691996739834,0.0,0.2,2.0,10,3.0,0.0,0.0,4,169.268,1431829.0,0.0
0.0,0,1.0,0.3898937620478711,0,1,11.54846633888932,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,17.0,1.0,1.0,1.0,0.04898858449107727,1.0,47,0.25,0.0,0.0,1,0.009882548230502717,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,2362.942,103617.0,0.0
0.0,0,1.0,0.06144333196723969,0,1,11.48683813020691,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,18.0,1.0,1.0,1.0,0.04606059746442848,1.0,69,0.25,0.0,0.0,1,0.010510757102972574,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,437.896,97424.0,0.0
0.0,3,0.0,0.0626963617434176,1,1,3.4011973816621555,0.0,0.8800000000000001,0.0,0.0,1.0,0.0,18.0,1.0,0.0,0.0,1.3238113474271964e-05,0.0,29,0.5,0.0,1.0,1,35.310344827586206,0.0,0.0,4.0,8,0.0,0.0,0.0,4,445.24,29.0,0.0
0.0,0,0.0,0.08283185411894298,2,1,10.271873652402872,0.0,0.92,0.0,0.0,1.0,0.0,25.0,1.0,0.0,1.0,0.013666461003118047,0.0,26,0.75,0.0,1.0,1,0.10627183727124918,0.0,0.2,6.0,8,0.0,0.0,0.0,4,563.254,28907.0,0.0
0.5,0,0.0,0.07835838084802682,0,1,12.658570819458657,0.0,0.44000000000000006,16.0,1.0,1.0,0.0,26.0,0.0,1.0,1.0,0.14866637826490883,0.0,26,0.25,0.0,0.0,1,0.013026083969902623,0.36363636363636365,0.5941176470588235,2.0,8,0.0,0.0,0.0,4,537.0350000000001,314446.0,0.0
0.0,0,1.0,0.06952165451798792,0,1,11.517564687118654,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,17.0,1.0,1.0,1.0,0.04749787835592086,1.0,50,0.25,0.0,0.0,1,0.010192705844879758,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,485.243,100464.0,0.0
0.0,0,0.0,0.08370218430525608,0,1,13.369453116461719,0.16666666666666666,0.8800000000000001,0.0,0.0,1.0,0.0,22.0,1.0,1.0,1.0,0.30265400535670806,0.0,28,0.5,0.0,1.0,1,0.0015996350832466343,0.0,0.2,4.0,26,1.0,0.0,0.0,4,568.355,640146.0,0.0
0.0,0,0.0,0.11743264026545669,1,0,5.4510384535657,0.0,0.2,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0001092144361627437,0.0,20,0.0,0.0,0.0,1,8.827586206896552,0.0,0.0,0.0,22,0.0,0.0,0.0,4,766.049,232.0,0.0
0.0,0,1.0,0.05393027189585931,0,1,11.537608321415448,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,17.0,1.0,1.0,1.0,0.04845953274187333,1.0,53,0.25,0.0,0.0,1,0.009990438837830982,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,393.862,102498.0,0.0
0.2222222222222222,0,1.0,0.13071878251368285,0,1,10.838187784893032,0.16666666666666666,0.9,2.0,1.0,1.0,0.0,23.0,1.0,1.0,1.0,0.02407776446086601,0.0,31,0.625,0.0,1.0,1,0.18096135721017909,0.045454545454545456,0.9166666666666667,5.0,8,1.0,1.0,0.2,4,843.919,50928.0,0.0
0.0,0,0.0,0.06390810159505368,0,0,10.15140176217555,0.6666666666666666,0.22000000000000003,0.0,0.0,1.0,0.0,22.0,0.0,1.0,1.0,0.012115237777793537,0.0,53,0.125,0.0,0.0,1,0.03995941621790369,0.0,0.2,1.0,13,4.0,0.0,0.0,16,452.342,25626.0,0.0
0.0,0,0.0,0.08092739900433273,0,1,10.030956857781932,0.16666666666666666,0.44000000000000006,0.0,0.0,1.0,0.0,17.0,1.0,1.0,1.0,0.010740365135537005,1.0,27,0.25,0.0,0.0,0,0.045074390351263316,0.0,0.2,2.0,8,1.0,0.0,0.0,4,552.092,22718.0,0.0
0.0,0,1.0,0.0711787113243931,0,1,10.8642543945108,0.3333333333333333,0.6400000000000001,0.0,0.0,1.0,1.0,17.0,1.0,1.0,1.0,0.024713666697398003,1.0,62,0.25,1.0,0.0,1,0.019589463011497332,0.0,0.55,2.0,8,2.0,1.0,0.2,4,494.955,52273.0,0.0
0.0,0,1.0,0.0724042713573841,0,1,11.557372879705524,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,17.0,1.0,1.0,1.0,0.04942686060502906,1.0,98,0.25,0.0,0.0,1,0.009794918885827977,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,502.138,104544.0,0.0
0.8,0,1.0,0.08443653073181785,0,0,8.508959386489133,0.0,0.0,2.0,1.0,1.0,0.0,7.0,0.0,1.0,1.0,0.002343618874713076,0.0,27,0.0,0.0,0.0,0,3.0980233965308592,0.045454545454545456,0.9166666666666667,0.0,17,0.0,1.0,0.2,4,572.659,4958.0,0.0
0.0,0,1.0,0.05174497704655558,0,1,11.598295495687733,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,18.0,1.0,1.0,1.0,0.05149153351724855,1.0,104,0.25,0.0,0.0,1,0.009402172416009403,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,381.054,108911.0,0.0
